2026-02-24T11:18:04.022381509Z [inf]  Starting Container
2026-02-24T11:18:05.824781355Z [err]  2026-02-24 11:18:05,078 - httpcore.http11 - DEBUG - send_request_headers.started request=<Request [b'GET']>
2026-02-24T11:18:05.824794229Z [err]  2026-02-24 11:18:05,078 - httpcore.http11 - DEBUG - send_request_headers.complete
2026-02-24T11:18:05.824802468Z [err]  2026-02-24 11:18:05,078 - httpcore.http11 - DEBUG - send_request_body.started request=<Request [b'GET']>
2026-02-24T11:18:05.824809479Z [err]  2026-02-24 11:18:05,078 - httpcore.http11 - DEBUG - send_request_body.complete
2026-02-24T11:18:05.824816332Z [err]  2026-02-24 11:18:05,078 - httpcore.http11 - DEBUG - receive_response_headers.started request=<Request [b'GET']>
2026-02-24T11:18:05.824841440Z [err]  2026-02-24 11:18:05,027 - services.supabase_service - INFO - ✅ Supabase client initialized with custom options
2026-02-24T11:18:05.824847874Z [err]  2026-02-24 11:18:05,050 - services.supabase_service - INFO - ✅ Supabase httpx client configured with limits: max_conn=200, keepalive=50
2026-02-24T11:18:05.824853999Z [err]  2026-02-24 11:18:05,052 - httpcore.connection - DEBUG - connect_tcp.started host='sicvgpofrpzchnjuaqxa.supabase.co' port=443 local_address=None timeout=30.0 socket_options=None
2026-02-24T11:18:05.824861212Z [err]  2026-02-24 11:18:05,069 - httpcore.connection - DEBUG - connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f392df5d390>
2026-02-24T11:18:05.824868854Z [err]  2026-02-24 11:18:05,069 - httpcore.connection - DEBUG - start_tls.started ssl_context=<ssl.SSLContext object at 0x7f392df191c0> server_hostname='sicvgpofrpzchnjuaqxa.supabase.co' timeout=30.0
2026-02-24T11:18:05.824875731Z [err]  2026-02-24 11:18:05,078 - httpcore.connection - DEBUG - start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x7f392df5d4d0>
